ds,yhat,yhat_lower,yhat_upper
2017-01-01,140.73719275511905,101.13931426287496,181.4897106033109
2017-01-02,143.23079332573957,101.91980726613015,185.6023825790052
2017-01-03,146.66242720958238,104.02758360583017,190.39193444601216
2017-01-04,141.81390698798137,102.87761926670319,184.14198304995537
2017-01-05,140.73910611267104,97.09003986830305,181.50251861348
2017-01-06,137.46847570550375,93.24147258695513,177.75645152578866
2017-01-07,135.5603251537555,89.80976253617925,175.71086001091822
2017-01-08,132.93559207734285,90.84300328215079,177.3358002072822
2017-01-09,133.80201025458098,90.44416761973005,174.99896020590023
2017-01-10,135.81653906961475,93.61368740130993,176.56802037954515
2017-01-11,129.7856562396713,87.27181058155313,170.83506889032293
2017-01-12,127.78224779130022,86.24824265107623,174.79449882738635
2017-01-13,123.84964610603686,84.5338856418013,164.3049656475957
2017-01-14,121.55258694315638,82.45818972960623,164.1547299734987
2017-01-15,118.81182016219424,77.86594569274202,161.83138735099578
2017-01-16,119.82828759875085,78.54003752068026,161.2703689168574
2017-01-17,122.24573209273817,81.76710835211775,162.66118683665044
2017-01-18,116.85133540064764,76.17161822415953,158.1647061338161
2017-01-19,115.69311055783999,74.6266904828104,158.62502623329465
2017-01-20,112.78458693540847,70.55876117161604,153.80819726429002
2017-01-21,111.65654246806935,69.09780502731368,151.65244796508162
2017-01-22,110.19249790933787,67.67425216390956,153.23966911127226
2017-01-23,112.55386378077087,72.29570384520883,154.82455567307812
2017-01-24,116.34357890179604,73.9991757212562,156.24430021307316
2017-01-25,112.30781145164522,72.16601986355461,151.05169243880053
2017-01-26,112.45442038740437,69.87336270940891,149.04226199998007
2017-01-27,110.75868749198465,70.19831868267681,153.3316854160015
2017-01-28,110.71604707064816,71.36497849256656,155.36623056085227
2017-01-29,110.17850193668781,67.73005471566572,150.86340701213248
2017-01-30,113.28059207880463,72.69469853690308,156.583289956421
2017-01-31,117.6037332109936,74.005153489315,160.45698967744704
2017-02-01,113.8784776409843,70.41564178328032,155.22643602582394
2017-02-02,114.10338043157739,72.28803983791292,153.6045438444413
2017-02-03,112.25097034608575,74.10572370369928,156.961434808168
2017-02-04,111.82054617179499,70.66147362582454,156.66506712308603
2017-02-05,110.67448517244918,67.84696370261082,153.62126350503314
2017-02-06,112.96393276190386,71.49920175719271,156.68949433828058
2017-02-07,116.29269782296683,75.0234097571167,159.9564927814126
2017-02-08,111.41891766456786,72.76847977007357,151.81412918069842
2017-02-09,110.37319118100358,69.38705884630654,151.146270130214
2017-02-10,107.16369891326909,66.46825935902626,150.78513750216194
2017-02-11,105.3280529274034,63.16245579733,147.09400634272023
2017-02-12,102.76858810326374,60.940089249221934,142.92219297722914
2017-02-13,103.67699063070717,60.77024066532046,143.87807330387955
2017-02-14,105.6971159975464,65.4277922146893,147.540206413631
